"2021-03-10 at 8:49"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-03-10	8:50:11	5.00105e2	5.13476e1	7.40729e1	7.5254530e-2	1.2110002e1	7.2109394e-1	
2021-03-10	8:50:11	4.99959e2	5.13476e1	7.40764e1	7.5239176e-2	1.2093217e1	7.1634311e-1	
2021-03-10	8:50:12	5.01011e2	5.13509e1	7.40725e1	7.5349521e-2	1.2094056e1	7.3893074e-1	
2021-03-10	8:50:12	5.02243e2	5.13509e1	7.40579e1	7.5479178e-2	1.2105805e1	7.4260988e-1	
2021-03-10	8:50:13	5.00444e2	5.13509e1	7.40612e1	7.5289778e-2	1.2100770e1	7.2738351e-1	
2021-03-10	8:50:13	4.99401e2	5.13476e1	7.40784e1	7.5180344e-2	1.2096574e1	7.1852817e-1	
2021-03-10	8:50:14	5.00968e2	5.13476e1	7.40695e1	7.5345506e-2	1.2103288e1	7.2734298e-1	
2021-03-10	8:50:14	5.01853e2	5.13509e1	7.40759e1	7.5438175e-2	1.2102448e1	7.1614923e-1	
2021-03-10	8:50:15	5.01141e2	5.13509e1	7.40745e1	7.5363183e-2	1.2112519e1	7.3962450e-1	
2021-03-10	8:50:15	5.01200e2	5.13509e1	7.40579e1	7.5369443e-2	1.2108323e1	7.4723491e-1	
2021-03-10	8:50:16	5.00904e2	5.13509e1	7.40614e1	7.5338196e-2	1.2096574e1	7.2565975e-1	
2021-03-10	8:50:16	4.99999e2	5.13476e1	7.40767e1	7.5243368e-2	1.2094056e1	7.1990494e-1	
2021-03-10	8:50:17	5.00044e2	5.13476e1	7.40695e1	7.5248122e-2	1.2098252e1	7.2809653e-1	
2021-03-10	8:50:17	4.99021e2	5.13476e1	7.40757e1	7.5140237e-2	1.2097413e1	7.1400737e-1	
2021-03-10	8:50:18	4.99291e2	5.13476e1	7.40770e1	7.5168657e-2	1.2087342e1	7.3331236e-1	
2021-03-10	8:50:18	5.00347e2	5.13509e1	7.40635e1	7.5279526e-2	1.2104127e1	7.4303655e-1	
2021-03-10	8:50:19	5.00039e2	5.13542e1	7.40617e1	7.5246505e-2	1.2115037e1	7.2794146e-1	
2021-03-10	8:50:19	4.99844e2	5.13509e1	7.40754e1	7.5226492e-2	1.2099931e1	7.1748538e-1	
2021-03-10	8:50:20	5.00634e2	5.13509e1	7.40739e1	7.5309758e-2	1.2092378e1	7.1772770e-1	
2021-03-10	8:50:20	4.99943e2	5.13509e1	7.40790e1	7.5236930e-2	1.2100770e1	7.1725277e-1	
