"2021-02-16 at 15:43"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-02-16	15:44:07	5.59221e2	5.13575e1	7.38964e1	8.1309843e-2	1.2103288e1	7.2723770e-1	
2021-02-16	15:44:07	5.57667e2	5.13575e1	7.39027e1	8.1154937e-2	1.2094895e1	7.2662525e-1	
2021-02-16	15:44:08	5.56715e2	5.13542e1	7.38927e1	8.1060533e-2	1.2111680e1	7.3980522e-1	
2021-02-16	15:44:08	5.56532e2	5.13509e1	7.38892e1	8.1042795e-2	1.2109162e1	7.3448710e-1	
2021-02-16	15:44:09	5.56134e2	5.13575e1	7.38945e1	8.1001882e-2	1.2108323e1	7.2703428e-1	
2021-02-16	15:44:09	5.57621e2	5.13575e1	7.38984e1	8.1150388e-2	1.2108323e1	7.2835116e-1	
2021-02-16	15:44:10	5.59030e2	5.13509e1	7.38934e1	8.1291971e-2	1.2105805e1	7.2659311e-1	
2021-02-16	15:44:10	5.60408e2	5.13542e1	7.39032e1	8.1428613e-2	1.2101609e1	7.2130780e-1	
2021-02-16	15:44:11	5.62304e2	5.13608e1	7.38992e1	8.1615934e-2	1.2110002e1	7.3382301e-1	
2021-02-16	15:44:11	5.61279e2	5.13575e1	7.38899e1	8.1514654e-2	1.2113358e1	7.3812108e-1	
2021-02-16	15:44:12	5.57245e2	5.13542e1	7.38925e1	8.1113395e-2	1.2110002e1	7.3062229e-1	
2021-02-16	15:44:12	5.52282e2	5.13575e1	7.38917e1	8.0616416e-2	1.2112519e1	7.3541455e-1	
2021-02-16	15:44:13	5.46915e2	5.13575e1	7.38872e1	8.0076990e-2	1.2110841e1	7.3490004e-1	
2021-02-16	15:44:13	5.45605e2	5.13575e1	7.38992e1	7.9944934e-2	1.2099092e1	7.2185473e-1	
2021-02-16	15:44:14	5.47786e2	5.13542e1	7.38955e1	8.0165262e-2	1.2109162e1	7.3859004e-1	
2021-02-16	15:44:14	5.47931e2	5.13542e1	7.38844e1	8.0179872e-2	1.2122590e1	7.4233865e-1	
2021-02-16	15:44:15	5.48007e2	5.13542e1	7.38922e1	8.0187587e-2	1.2121751e1	7.2114653e-1	
2021-02-16	15:44:15	5.47660e2	5.13542e1	7.39029e1	8.0152654e-2	1.2113358e1	7.3272800e-1	
2021-02-16	15:44:16	5.46355e2	5.13542e1	7.38837e1	8.0021171e-2	1.2131822e1	7.4395489e-1	
2021-02-16	15:44:16	5.45767e2	5.13575e1	7.39037e1	7.9961276e-2	1.2113358e1	7.1907429e-1	
2021-02-16	15:44:17	5.46811e2	5.13575e1	7.39069e1	8.0066499e-2	1.2101609e1	7.2322134e-1	
2021-02-16	15:44:17	5.47517e2	5.13542e1	7.38899e1	8.0138196e-2	1.2112519e1	7.4320297e-1	
2021-02-16	15:44:18	5.47591e2	5.13509e1	7.38860e1	8.0146207e-2	1.2113358e1	7.3360061e-1	
2021-02-16	15:44:18	5.48012e2	5.13575e1	7.38957e1	8.0187492e-2	1.2103288e1	7.2555308e-1	
2021-02-16	15:44:19	5.47714e2	5.13542e1	7.38970e1	8.0158081e-2	1.2102448e1	7.2184619e-1	
2021-02-16	15:44:19	5.48202e2	5.13542e1	7.39037e1	8.0207138e-2	1.2094895e1	7.2962069e-1	
