"2021-02-16 at 15:26"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2021-02-16	15:28:03	4.85574e2	5.14073e1	7.38835e1	7.3701624e-2	1.2012649e1	7.3740100e-1	
2021-02-16	15:28:03	4.85383e2	5.14040e1	7.38937e1	7.3681678e-2	1.2021042e1	7.3169493e-1	
2021-02-16	15:28:04	4.84663e2	5.14040e1	7.38880e1	7.3604583e-2	1.2010971e1	7.4388084e-1	
2021-02-16	15:28:04	4.84653e2	5.14106e1	7.38830e1	7.3602504e-2	1.2010971e1	7.3635244e-1	
2021-02-16	15:28:05	4.85011e2	5.14106e1	7.38934e1	7.3640756e-2	1.2025238e1	7.2588090e-1	
2021-02-16	15:28:05	4.85783e2	5.14073e1	7.38929e1	7.3723926e-2	1.2014328e1	7.2951431e-1	
2021-02-16	15:28:06	4.83422e2	5.14040e1	7.38922e1	7.3471603e-2	1.2019363e1	7.2657775e-1	
2021-02-16	15:28:06	4.79603e2	5.14040e1	7.38984e1	7.3061318e-2	1.2027755e1	7.4065585e-1	
2021-02-16	15:28:07	4.79625e2	5.14073e1	7.38812e1	7.3063225e-2	1.2026077e1	7.4721717e-1	
2021-02-16	15:28:07	4.81495e2	5.14139e1	7.38870e1	7.3263168e-2	1.2021042e1	7.2456545e-1	
2021-02-16	15:28:08	4.82079e2	5.14106e1	7.39007e1	7.3326520e-2	1.2024399e1	7.3347434e-1	
2021-02-16	15:28:08	4.83261e2	5.14106e1	7.38830e1	7.3453311e-2	1.2030273e1	7.4204025e-1	
2021-02-16	15:28:09	4.79484e2	5.14139e1	7.38972e1	7.3046894e-2	1.2025238e1	7.1627621e-1	
2021-02-16	15:28:09	4.72990e2	5.14139e1	7.39055e1	7.2345423e-2	1.2015167e1	7.2961969e-1	
2021-02-16	15:28:10	4.72352e2	5.14139e1	7.38860e1	7.2276248e-2	1.2026916e1	7.5540266e-1	
2021-02-16	15:28:10	4.74877e2	5.14139e1	7.38787e1	7.2549829e-2	1.2042024e1	7.3285341e-1	
2021-02-16	15:28:11	4.75519e2	5.14139e1	7.39039e1	7.2619204e-2	1.2017685e1	7.1849226e-1	
2021-02-16	15:28:11	4.73144e2	5.14139e1	7.38962e1	7.2362117e-2	1.2032792e1	7.3227977e-1	
2021-02-16	15:28:12	4.69505e2	5.14206e1	7.38917e1	7.1965970e-2	1.2031953e1	7.2540121e-1	
2021-02-16	15:28:12	4.67244e2	5.14206e1	7.38964e1	7.1719813e-2	1.2020202e1	7.4382667e-1	
2021-02-16	15:28:13	4.68056e2	5.14206e1	7.38812e1	7.1808338e-2	1.2043702e1	7.4721078e-1	
2021-02-16	15:28:13	4.68655e2	5.14173e1	7.38917e1	7.1874046e-2	1.2048738e1	7.2239589e-1	
2021-02-16	15:28:14	4.67320e2	5.14173e1	7.39039e1	7.1728558e-2	1.2032792e1	7.3227362e-1	
2021-02-16	15:28:14	4.67389e2	5.14173e1	7.38844e1	7.1736092e-2	1.2036149e1	7.4458379e-1	
2021-02-16	15:28:15	4.73624e2	5.14239e1	7.38922e1	7.2412538e-2	1.2022720e1	7.2190561e-1	
2021-02-16	15:28:15	4.76046e2	5.14272e1	7.39067e1	7.2674026e-2	1.2024399e1	7.3133592e-1	
